trial,opponent,seed,opponent_rng,winner,game_points,score,aggressive_moves,defensive_moves
277,RandBot,4033799514,4033799515,RandBot,2,74,0,2352
278,RandBot,3653192883,3653192884,RandBot,1,67,0,2362
279,RandBot,3173247365,3173247366,AdaptiveBot,1,74,0,2372
280,RandBot,2792640734,2792640735,RandBot,2,68,0,2380
281,RandBot,165211568,165211569,AdaptiveBot,2,81,0,2388
282,RandBot,4079572233,4079572234,RandBot,2,67,0,2394
283,RandBot,1551481954,1551481955,RandBot,2,71,0,2401
284,RandBot,3219020084,3219020085,AdaptiveBot,1,60,0,2411
285,RandBot,2838413453,2838413454,AdaptiveBot,1,65,0,2421
286,RandBot,210984287,210984288,RandBot,2,79,0,2429
287,RandBot,1977861304,1977861305,RandBot,1,68,0,2439
288,RandBot,3645399434,3645399435,RandBot,2,75,0,2444
289,RandBot,3264792803,3264792804,RandBot,1,62,0,2454
290,RandBot,2884186172,2884186173,RandBot,2,66,0,2462
291,RandBot,256757006,256757007,AdaptiveBot,1,67,0,2472
292,RandBot,2023634023,2023634024,AdaptiveBot,3,72,0,2478
293,RandBot,3691172153,3691172154,RandBot,2,71,0,2486
294,RandBot,3310565522,3310565523,RandBot,1,56,0,2496
295,RandBot,2929958891,2929958892,AdaptiveBot,2,85,0,2505
296,RandBot,2450013373,2450013374,AdaptiveBot,1,67,0,2513
297,RandBot,2069406742,2069406743,AdaptiveBot,1,68,0,2521
298,RandBot,3736944872,3736944873,AdaptiveBot,1,74,0,2531
299,RandBot,3356338241,3356338242,AdaptiveBot,1,64,0,2541
300,RandBot,2876392723,2876392724,AdaptiveBot,1,58,0,2551
301,RandBot,2495786092,2495786093,RandBot,2,85,0,2559
302,RandBot,2115179461,2115179462,AdaptiveBot,1,72,0,2568
303,RandBot,3782717591,3782717592,AdaptiveBot,1,66,0,2578
304,RandBot,1254627312,1254627313,AdaptiveBot,1,100,0,2588
305,RandBot,2922165442,2922165443,RandBot,2,67,0,2596
306,RandBot,2541558811,2541558812,RandBot,2,68,0,2600
307,RandBot,4209096941,4209096942,RandBot,2,69,0,2608
308,RandBot,1681006662,1681006663,RandBot,2,81,0,2616
309,RandBot,1300400031,1300400032,AdaptiveBot,1,74,0,2626
310,RandBot,2967938161,2967938162,AdaptiveBot,1,56,0,2636
311,RandBot,2587331530,2587331531,AdaptiveBot,1,68,0,2645
312,RandBot,2107386012,2107386013,AdaptiveBot,1,71,0,2654
313,RandBot,1726779381,1726779382,AdaptiveBot,3,66,0,2660
314,RandBot,1346172750,1346172751,AdaptiveBot,1,65,0,2670
315,RandBot,3013710880,3013710881,AdaptiveBot,1,59,0,2680
316,RandBot,2633104249,2633104250,AdaptiveBot,1,65,0,2690
317,RandBot,2153158731,2153158732,AdaptiveBot,1,65,0,2700
318,RandBot,1772552100,1772552101,RandBot,1,56,0,2710
319,RandBot,3440090230,3440090231,AdaptiveBot,2,79,0,2717
320,RandBot,3059483599,3059483600,RandBot,1,69,0,2727
321,RandBot,531393320,531393321,AdaptiveBot,2,80,0,2735
322,RandBot,2198931450,2198931451,AdaptiveBot,1,72,0,2744
323,RandBot,1818324819,1818324820,RandBot,2,80,0,2753
324,RandBot,3485862949,3485862950,AdaptiveBot,1,80,0,2763
325,RandBot,957772670,957772671,AdaptiveBot,1,69,0,2773
326,RandBot,2625310800,2625310801,AdaptiveBot,1,73,0,2782
327,RandBot,2244704169,2244704170,AdaptiveBot,1,66,0,2791
328,RandBot,1864097538,1864097539,AdaptiveBot,2,70,0,2798
329,RandBot,1384152020,1384152021,AdaptiveBot,1,72,0,2807
330,RandBot,1003545389,1003545390,AdaptiveBot,2,106,0,2814
331,RandBot,2671083519,2671083520,AdaptiveBot,1,67,0,2823
332,RandBot,2290476888,2290476889,AdaptiveBot,1,67,0,2833
333,RandBot,1810531370,1810531371,AdaptiveBot,2,72,0,2841
334,RandBot,1429924739,1429924740,RandBot,2,72,0,2846
335,RandBot,1049318108,1049318109,AdaptiveBot,1,84,0,2856
336,RandBot,2716856238,2716856239,AdaptiveBot,1,75,0,2865
337,RandBot,2336249607,2336249608,AdaptiveBot,2,73,0,2872
338,RandBot,1856304089,1856304090,AdaptiveBot,2,73,0,2880
339,RandBot,1475697458,1475697459,AdaptiveBot,1,60,0,2890
340,RandBot,1095090827,1095090828,AdaptiveBot,1,58,0,2900
341,RandBot,2762628957,2762628958,AdaptiveBot,1,101,0,2908
342,RandBot,234538678,234538679,AdaptiveBot,2,74,0,2915
343,RandBot,1902076808,1902076809,AdaptiveBot,1,68,0,2924
344,RandBot,1521470177,1521470178,AdaptiveBot,1,67,0,2932
345,RandBot,3189008307,3189008308,AdaptiveBot,1,63,0,2942
346,RandBot,660918028,660918029,AdaptiveBot,3,68,0,2947
347,RandBot,280311397,280311398,AdaptiveBot,2,108,0,2956
348,RandBot,1947849527,1947849528,RandBot,2,76,0,2962
349,RandBot,1567242896,1567242897,AdaptiveBot,2,112,0,2970
350,RandBot,1087297378,1087297379,AdaptiveBot,2,69,0,2977
351,RandBot,706690747,706690748,RandBot,1,63,0,2987
352,RandBot,2374228877,2374228878,RandBot,3,67,0,2992
353,RandBot,1993622246,1993622247,AdaptiveBot,1,80,0,3002
354,RandBot,3760499263,3760499264,RandBot,3,76,0,3007
355,RandBot,1133070097,1133070098,AdaptiveBot,1,83,0,3015
356,RandBot,752463466,752463467,RandBot,3,71,0,3019
357,RandBot,2420001596,2420001597,AdaptiveBot,1,55,0,3029
358,RandBot,4186878613,4186878614,AdaptiveBot,1,66,0,3038
359,RandBot,3806271982,3806271983,AdaptiveBot,1,66,0,3048
360,RandBot,1178842816,1178842817,AdaptiveBot,2,71,0,3055
361,RandBot,798236185,798236186,AdaptiveBot,1,66,0,3065
362,RandBot,2465774315,2465774316,AdaptiveBot,3,66,0,3071
363,RandBot,4232651332,4232651333,AdaptiveBot,2,75,0,3080
364,RandBot,1605222166,1605222167,AdaptiveBot,1,55,0,3090
365,RandBot,1224615535,1224615536,AdaptiveBot,1,69,0,3098
366,RandBot,844008904,844008905,RandBot,2,68,0,3102
367,RandBot,364063386,364063387,AdaptiveBot,1,74,0,3112
368,RandBot,4278424051,4278424052,AdaptiveBot,1,60,0,3122
369,RandBot,1650994885,1650994886,RandBot,3,67,0,3127
370,RandBot,1270388254,1270388255,AdaptiveBot,1,66,0,3136
371,RandBot,790442736,790442737,RandBot,2,69,0,3143
372,RandBot,409836105,409836106,AdaptiveBot,1,82,0,3150
373,RandBot,29229474,29229475,RandBot,3,76,0,3154
374,RandBot,1696767604,1696767605,AdaptiveBot,3,67,0,3160
375,RandBot,3463644621,3463644622,RandBot,1,67,0,3169
376,RandBot,836215455,836215456,AdaptiveBot,2,73,0,3176
377,RandBot,455608824,455608825,AdaptiveBot,2,73,0,3184
378,RandBot,2123146954,2123146955,AdaptiveBot,1,73,0,3193
379,RandBot,3890023971,3890023972,AdaptiveBot,1,61,0,3203
380,RandBot,3509417340,3509417341,AdaptiveBot,1,61,0,3213
381,RandBot,881988174,881988175,AdaptiveBot,3,73,0,3219
382,RandBot,501381543,501381544,AdaptiveBot,1,66,0,3228
383,RandBot,21436025,21436026,RandBot,2,67,0,3235
384,RandBot,3935796690,3935796691,AdaptiveBot,1,80,0,3244
385,RandBot,3555190059,3555190060,AdaptiveBot,2,78,0,3252
386,RandBot,927760893,927760894,RandBot,2,70,0,3259
387,RandBot,547154262,547154263,AdaptiveBot,1,67,0,3269
388,RandBot,67208744,67208745,AdaptiveBot,1,64,0,3279
389,RandBot,3981569409,3981569410,RandBot,1,55,0,3289
390,RandBot,1354140243,1354140244,RandBot,3,75,0,3294
391,RandBot,973533612,973533613,AdaptiveBot,2,67,0,3302
392,RandBot,2740410629,2740410630,AdaptiveBot,2,105,0,3310
393,RandBot,112981463,112981464,RandBot,2,66,0,3315
394,RandBot,4027342128,4027342129,AdaptiveBot,1,62,0,3325
395,RandBot,1399912962,1399912963,AdaptiveBot,1,67,0,3335
396,RandBot,3166789979,3166789980,AdaptiveBot,1,81,0,3345
397,RandBot,539360813,539360814,AdaptiveBot,1,63,0,3355
398,RandBot,158754182,158754183,RandBot,3,66,0,3360
399,RandBot,4073114847,4073114848,AdaptiveBot,1,87,0,3368
400,RandBot,3593169329,3593169330,AdaptiveBot,1,94,0,3376
401,RandBot,3212562698,3212562699,RandBot,3,66,0,3383
402,RandBot,585133532,585133533,RandBot,3,70,0,3387
403,RandBot,204526901,204526902,RandBot,2,68,0,3395
404,RandBot,1971403918,1971403919,RandBot,1,79,0,3405
405,RandBot,3638942048,3638942049,AdaptiveBot,1,73,0,3415
406,RandBot,3258335417,3258335418,AdaptiveBot,1,99,0,3424
407,RandBot,630906251,630906252,RandBot,1,69,0,3434
408,RandBot,250299620,250299621,AdaptiveBot,1,68,0,3442
409,RandBot,4065321398,4065321399,AdaptiveBot,1,70,0,3452
410,RandBot,3684714767,3684714768,AdaptiveBot,1,65,0,3462
411,RandBot,3304108136,3304108137,RandBot,2,67,0,3469
412,RandBot,676678970,676678971,AdaptiveBot,1,73,0,3478
413,RandBot,2443555987,2443555988,RandBot,2,67,0,3486
414,RandBot,4111094117,4111094118,RandBot,1,67,0,3495
415,RandBot,3730487486,3730487487,AdaptiveBot,1,65,0,3505
416,RandBot,1103058320,1103058321,RandBot,2,74,0,3512
417,RandBot,2869935337,2869935338,AdaptiveBot,1,72,0,3522
418,RandBot,2489328706,2489328707,RandBot,1,76,0,3532
419,RandBot,4156866836,4156866837,RandBot,2,66,0,3540
